"latitude","longitude","stn","name"
"70.933","-8.667","10010","JAN MAYEN"
"61.383","5.867","10015","BRINGELAND"
"77","15.5","10030","HORNSUND"
"78.25","15.467","10080","SVALBARD LUFTHAVN"
"69.3","16.133","10100","ANDOYA"
"69.067","18.533","10230","BARDUFOSS"
"69.683","18.917","10250","TROMSO/LANGNES"
"69.65","18.933","10260","TROMSO"
"74.517","19.017","10280","BJORNOYA"
"64.85","11.233","10300","DATSAV3 VIRT STATION (NORWAY)"
"70.25","19.5","10330","TORSVAG FYR"
"69.783","20.967","10460","SORKJOSEN"
"69","23.033","10470","KAUTOKEINO"
"69.983","23.367","10490","ALTA LUFTHAVN"
"70.667","23.667","10520","HAMMERFEST"
"70.683","23.683","10530","HAMMERFEST RADIO"
"71.1","24","10550","FRUHOLMEN FYR"
"70.067","24.983","10590","BANAK"
"70.067","25.117","10610","BRENNELV"
"76.5","25.067","10620","HOPEN"
"71.1","28.217","10780","SLETTNES FYR"
"70.067","29.85","10880","VADSO"
"69.733","29.9","10890","KIRKENES"
"70.367","31.1","10980","VARDO"
"65.2","11","11020","SKLINNA FYR"
"65.333","7.317","11025","HEIDRUN"
"67.417","11.883","11050","SKOMVAER FYR"
"67.517","12.1","11060","ROEST III"
"65.467","12.217","11120","BRONNOYSUND/BRONNOY"
"66.767","12.483","11150","MYKEN"
"65.967","12.467","11160","SANDNESSJOEN/STOKKA"
"65.783","13.217","11220","MOSJOEN KJAERSTAD"
"66.367","14.3","11510","MO I RANA/ROSSVOLL"
"67.267","14.367","11520","BODO VI"
"68.15","14.65","11600","SKROVA FYR"
"68.583","15.017","11620","STORKMARKNES/SKAGEN"
"68.7","15.417","11670","SORTLAND"
"68.517","16.683","11830","EVENES"
"68.467","17.5","11940","NARVIK III"
"62.333","5.267","12050","SVINOY FYR"
"62.567","6.117","12100","ALESUND/VIGRA"
"62.867","6.533","12120","ONA II"
"62.75","7.267","12170","MOLDE/ARO"
"63.117","7.833","12230","KRISTIANSUND/KVERNB"
"63.85","8.467","12280","SULA"
"62.083","9.133","12350","DOMBAS-KIRKENAER"
"62.117","9.283","12380","FOKSTUA II"
"63.7","9.6","12410","ORLAND III"
"63.467","10.933","12710","TRONDHEIM/VERNES"
"64.467","11.583","12900","NAMSOS LUFTHAVN"
"61.2","2.267","13000","GULLFAKS C"
"60.75","4.717","13060","HELLISOY FYR"
"61.583","5.033","13100","FLORO"
"60.283","5.233","13110","BERGEN/FLESLAND"
"60.383","5.333","13170","BERGEN/FLORIDA"
"61.833","6.117","13200","SANDANE/ANDA"
"61.517","7.9","13610","FANARAKEN"
"60.983","9.233","13670","FAGERNES"
"61.033","2.033","13755","GULLFAX (PLATFORM)"
"60.767","10.817","13820","KISE PA HEDMARK"
