"latitude","longitude","name","stn"
"40.667","29.833","GOLCUK/DUMLUPINAR","170670"
"38.767","34.533","KAPADOKYA","170671"
"40.25","29.55","YENISEHIR","170672"
"41.25","36.567","CARSAMBA","170673"
"40.9","29.3","SABIHA GOKCEN","170674"
"40.733","31.6","BOLU","170700"
"40.85","35.583","MERZIFON","170820"
"40.55","34.95","CORUM","170840"
"40.3","36.567","TOKAT","170860"
"40.467","39.467","GUMUSHANE","170880"
"39.75","37.017","SIVAS","170900"
"39.7","39.517","ERZINCAN","170920"
"39.95","41.167","ERZURUM","170960"
"40.55","43.083","KARS","170980"
"40.183","25.9","GOKCEADA","171100"
"40.133","26.4","CANAKKALE","171120"
"40.317","27.967","BANDIRMA","171150"
"40.183","29.067","BURSA","171160"
"40.15","29.967","BILECIK","171200"
"39.783","30.567","ESKISEHIR","171240"
"40.067","32.567","AKINCI","171270"
"40.117","33","ESENBOGA","171280"
"39.95","32.683","ETIMESGUT","171290"
"39.933","32.732","GUVERCINLIK","171295"
"39.85","33.517","KIRIKKALE","171350"
"39.817","34.8","YOZGAT","171400"
"39.617","27.917","BALIKESIR","171500"
"39.417","29.967","KUTAHYA","171550"
"39.15","34.167","KIRSEHIR","171600"
"38.45","43.317","VAN","171700"
"39.3","26.7","AYVALIK","171750"
"39.067","26.883","DIKILI","171800"
"38.917","27.85","AKHISAR","171840"
"38.683","29.4","USAK","171880"
"38.733","30.6","AFYONKARAHISAR","171890"
"38.75","30.533","AFYON","171900"
"38.733","30.6","AFYON (MIL)","171905"
"38.817","35.433","KAYSERI/ERKILET","171950"
"38.35","38.317","MALATYA/BOLGE","171990"
"38.433","38.083","MALATYA/ERHAC","172000"
"40.733","30.083","TOPEL","172005"
"38.6","39.283","ELAZIG","172020"
"38.483","42.3","TATVAN","172050"
"37.933","41.95","SIIRT","172100"
"38.517","27.017","IZMIR/CIGLI","172180"
"38.267","27.15","IZMIR/A. MENDERES","172190"
"37.85","27.85","AYDIN","172340"
"37.783","29.083","DENIZLI","172370"
"37.75","30.55","ISPARTA","172400"
"37.85","30.367","SULEYMAN DEMIREL","172410"
"37.967","32.549","KONYA","172440"
"37.5","34.05","EREGLI/KONYA","172480"
"37.967","34.683","NIGDE","172500"
"37.083","37.367","GAZIANTEP","172600"
"37.133","38.767","SANLIURFA","172700"
"37.1","38.85","SANLIURFA/MEYDAN","172720"
"37.25","27.667","MILAS BODRUM","172734"
"37.883","40.183","DIYARBAKIR","172800"
"37.033","27.433","BODRUM","172900"
"37.217","28.367","MUGLA","172920"
"36.7","28.783","DALAMAN","172950"
"36.867","30.733","ANTALYA","173000"
"36.55","32","ALANYA","173100"
"36.083","32.833","ANAMUR","173200"
"36.383","33.933","SILIFKE","173300"
"37","35.417","ADANA/INCIRLIK AFB","173500"
"36.983","35.3","ADANA","173520"
"36.583","36.167","ISKENDERUN","173700"
"36.3","30.15","FINIKE","173750"
"35.2","32.983","MORPHOU","175000"
"35.25","33.733","LEFKONIKO","175150"
"35.133","33.517","TYMBU/NICOSIA","175210"
"35.133","33.95","FAMAGUSTA/AMMOCHO","175400"
"34.717","32.482","PAPHOS AIRPORT","176000"
"34.583","32.983","AKROTIRI","176010"
"34.583","32.983","DATSAV3 VIRT STATION (CYPRUS)","176060"
"35.15","33.5","ERCAN","176074"
"34.883","33.633","LARNACA AIRPORT","176090"
"80.167","36.75","VIKTORIYA ISLAND","200260"
"80.817","47.417","NAGURSKOYE","200340"
"80.617","58.05","POLARGMO IM. E.T. K","200460"
"80.367","52.917","TIKHAYA BAY","200490"
"80.833","79.7","USHAKOVA ISLAND","200660"
"79.5","76.983","OSTROV VIZE","200690"
"79.55","90.617","OSTROV GOLOMJANNYJ","200870"
"79.383","102.417","CAPE PESCHANIY","200970"
"78.067","14.25","BARENCBURG","201070"
"78.617","98.7","KRASNOFLOTSKIYE ISL","201860"
"77.5","82.2","OSTROV UEDINENIJA","202740"
"77.283","89.667","ISACHENKO ISLAND","202770"
"77.183","96.583","RUSSKIY ISLAND","202890"
"78.233","103.117","SOLNECHNAYA BAY","202910"
"77.717","104.3","GMO IM.E.K. FEDOROV","202920"
"77.617","101.483","GEYBERGA ISLAND","202940"
"76.85","68.55","MYS ZELANIJA","203530"
"76.183","63.567","RUSSKAYA GAVAN`","203570"
"76.283","94.733","PRAVDY ISLAND","203880"
"75.917","83.25","TROYNOY ISLAND","204710"
"75.417","88.9","CAPE STERLEGOVA","204760"
"74.5","102.5","LAKE TAJMYR","205940"
"73.5","76","VILKICKOGO ISLAND","206650"
"73.333","70.05","IM. M.V. POPOVA","206670"
"73.5","80.4","OSTROV DIKSON","206740"
"73.683","85.25","MAKAROVA","206750"
"72.367","52.7","MALYE KARMAKULY","207440"
"72.333","79.5","LESKINO","207660"
"71.4","67.633","CAPE KHARASOVOY","208560"
"71.983","75.4","MONGATALYANG","208620"
"71.483","71.817","TAMBEY","208640"
"71.9","82.717","SOPOCHNAYA KARGA","208710"
"71.983","102.467","HATANGA","208910"
"70.717","57.617","CAPE MENSHIKOVA","209430"
"70.45","59.067","CAPE BOLVANSKIJ","209460"
"70.883","78.5","GYDA","209630"
