la,lo,s
"70.933","-8.667","10010"
"61.383","5.867","10015"
"77","15.5","10030"
"78.25","15.467","10080"
"69.3","16.133","10100"
"69.067","18.533","10230"
"69.683","18.917","10250"
"69.65","18.933","10260"
"74.517","19.017","10280"
"64.85","11.233","10300"
"70.25","19.5","10330"
"69.783","20.967","10460"
"69","23.033","10470"
"69.983","23.367","10490"
"70.667","23.667","10520"
"70.683","23.683","10530"
"71.1","24","10550"
"70.067","24.983","10590"
"70.067","25.117","10610"
"76.5","25.067","10620"
"71.1","28.217","10780"
"70.067","29.85","10880"
"69.733","29.9","10890"
"70.367","31.1","10980"
"65.2","11","11020"
"65.333","7.317","11025"
"67.417","11.883","11050"
"67.517","12.1","11060"
"65.467","12.217","11120"
"66.767","12.483","11150"
"65.967","12.467","11160"
"65.783","13.217","11220"
"66.367","14.3","11510"
"67.267","14.367","11520"
"68.15","14.65","11600"
"68.583","15.017","11620"
"68.7","15.417","11670"
"68.517","16.683","11830"
"68.467","17.5","11940"
"62.333","5.267","12050"
"62.567","6.117","12100"
"62.867","6.533","12120"
"62.75","7.267","12170"
"63.117","7.833","12230"
"63.85","8.467","12280"
"62.083","9.133","12350"
"62.117","9.283","12380"
"63.7","9.6","12410"
"63.467","10.933","12710"
"64.467","11.583","12900"
"61.2","2.267","13000"
"60.75","4.717","13060"
"61.583","5.033","13100"
"60.283","5.233","13110"
"60.383","5.333","13170"
"61.833","6.117","13200"
"61.517","7.9","13610"
"60.983","9.233","13670"
"61.033","2.033","13755"
"60.767","10.817","13820"
"60.2","11.083","13840"
"56.9","3.35","14000"
"59.3","4.883","14030"
"56.55","3.25","14033"
"59.917","5.067","14060"
"59.35","5.217","14080"
"58.883","5.633","14150"
"58.117","6.567","14270"
"58.667","7.8","14420"
"58.067","8.05","14480"
"58.2","8.083","14520"
"58.4","8.8","14650"
"58.633","9.15","14670"
"59.667","9.65","14770"
"59.033","10.533","14820"
"59.2","10.267","14825"
"59.2","10.267","14830"
"59.317","10.45","14843"
"59.9","10.617","14880"
"59.95","10.717","14920"
"59.383","10.783","14940"
"67.733","17.467","20120"
"67.733","17.467","20130"
"68.417","18.167","20200"
"67.5","18.3","20240"
"67.933","21.067","20430"
"67.817","20.333","20440"
"67.15","20.65","20490"
"68.417","18.167","20500"
"68.683","21.533","20550"
"65.55","22.133","20570"
"65.833","24.15","20580"
"68.683","21.533","20600"
"63.183","14.5","20620"
"67.333","22.233","20640"
"62.033","14.367","20650"
"62.533","17.45","20660"
"61.267","17.1","20690"
"59.367","13.467","20730"
"59.267","15.333","20740"
"59.583","16.633","20750"
"59.883","17.6","20760"
"59.35","17.95","20770"
"58.433","12.7","20790"
"68.45","22.45","20800"
"58.75","17.867","20820"
"58.4","19.2","20830"
"68.05","22","20840"
"67.767","22.35","20860"
"57.767","14.083","20870"
"67.083","22.217","20880"
"57.367","17.1","20890"
"57.667","18.35","20900"
"56.3","12.45","20910"
"67.95","23.467","20920"
"56.033","15.8","20940"
"56.683","16.3","20950"
"67.217","23.4","20960"
"55.55","13.367","20980"
"55.433","13.833","20990"
"65.099","14.517","21020"
"65.8","15.1","21040"
"65.067","14.8","21080"
"63.3","12.133","21150"
"63.567","19.5","21170"
"63.8","20.283","21190"
"66.883","17.75","21200"
"61.383","15.833","21230"
"60.317","12.7","21250"
"65.016","17.683","21280"
"64.967","17.7","21290"
"58.967","14.9","21330"
"65.567","17.867","21350"
"65.9","19.1","21440"
"65.15","18.6","21470"
"58.617","16.117","21480"
"65.6","19.267","21490"
"58.783","16.917","21500"
"66.483","20.167","21510"
"66.3","20.417","21520"
"65.883","20.15","21540"
"57.3","14.133","21550"
"66.75","20.933","21610"
"56.083","13.233","21630"
"56.267","15.283","21660"
"55.383","12.817","21670"
"65.667","21.067","21730"
"66.283","21.133","21740"
"65.033","21.567","21760"
"66.267","22.85","21810"
"65.55","22.133","21860"
"65.7","23.1","21910"
"65.833","24.15","21960"
"66.617","23.467","21990"
"63.3","12.117","22060"
"64.5","14.167","22220"
"63.2","14.5","22260"
"64.217","15.55","22300"
"63.683","14.6","22310"
"64.45","15.6","22320"
"63.867","15.583","22340"
"63.767","15.333","22360"
"64.083","16.233","22420"
"63.683","16.95","22440"
"64.583","16.85","22450"
"63.15","16.167","22470"
"64.45","17.083","22520"
"63.05","17.767","22590"
"63.133","18.25","22600"
"64.55","18.717","22610"
"64.083","18.417","22640"
"63.65","18.55","22650"
"63.4","18.967","22670"
"63.183","19.017","22690"
"64.933","19.383","22710"
"64.217","19.717","22740"
"63.567","19.5","22760"
"63.183","19.017","22780"
"64.566","19.7","22820"
"63.433","19.683","22840"
"63.8","20.283","22860"
"61.25","17.1","22861"
"63.817","20.867","22870"
"63.6","20.75","22880"
"64.599","21.067","22930"
"64.483","21.583","22960"
"64.483","21.583","22970"
"58.567","11.55","22980"
"58.9","13.25","23050"
"61.133","12.817","23060"
"61.7","13.183","23160"
"62.1","13.617","23170"
"62.75","13.85","23190"
"61.25","14.033","23210"
"62.017","14.367","23240"
"61.667","15","23290"
"62.75","15.083","23310"
"56.833","13.917","23330"
"61.383","15.833","23360"
"62.283","15.667","23370"
"61.367","15.717","23380"
"62.5","16.283","23430"
"61.833","16.55","23470"
"61.7","17.533","23550"
"62.517","17.45","23660"
"62.217","17.75","23680"
"61.267","17.1","23760"
"61.45","17.167","23780"
"62.65","18.1","23820"
"60.35","12.65","24000"
"58.7","13.117","24030"
"59.667","12.583","24040"
"59.283","12.05","24060"
"59.217","12.083","24080"
"59.05","12.7","24090"
"60.683","13.717","24100"
"59.667","12.633","24110"
"59.367","13.467","24150"
"59.45","13.467","24180"
"59.867","13.117","24230"
"59.95","14.95","24240"
"60.15","13.8","24260"
"59.217","15.033","24283"
"59.667","14.183","24290"
"59.233","15.05","24320"
"60.433","15.517","24350"
"59.267","15.333","24360"
"60.967","16.433","24400"
"60.967","14.5","24410"
"60.167","16.317","24440"
"59.583","16.633","24460"
"60.733","17.567","24500"
"59.3","14.9","24520"
"60.717","17.167","24530"
"60.233","17.9","24560"
"59.9","17.6","24580"
"59.65","17.95","24600"
"59.367","17.9","24640"
"60.383","15.133","24680"
"59.183","17.917","24690"
"60.167","18.75","24740"
"59.05","16.4","24760"
"59.917","16.683","24810"
"60.267","16.983","24820"
"58.783","16.9","24853"
"59.367","17.517","24860"
"60.533","18.383","24880"
"59.833","18.633","24900"
"59.45","19.5","24960"
"58.9","11","25000"
"58.1","11.333","25050"
"58.1","11.35","25080"
"58.317","12.333","25103"
"1.383","103.717","25105"
"57.783","11.883","25120"
"57.717","12","25130"
"57.633","11.617","25160"
"57.3","11.9","25180"
"58.433","12.717","25200"
"58.317","12.333","25230"
"57.933","13.067","25240"
"57.667","12.3","25260"
"58.9","13.25","25300"
"58.45","13.967","25350"
"57.783","13.167","25360"
"58.967","14.9","25410"
"58.317","13.033","25420"
"58.517","14.533","25440"
"58.1","14.417","25480"
"57.5","14.467","25490"
"57.75","14.083","25500"
"58.067","15.233","25520"
"58.717","15.033","25540"
"57.65","14.7","25550"
"57.3","14.133","25560"
"58.683","16.317","25580"
"57.7","16.467","25590"
"58.4","15.533","25620"
"58.4","15.667","25625"
"58.25","17.017","25630"
"56.3","12.85","25635"
"58.067","15.233","25640"
"57.4","15.817","25660"
"58.75","17.867","25670"
"58.617","16.117","25700"
"58.583","16.149","25710"
"58.783","16.917","25720"
"58.583","16.149","25740"
"57.367","17.1","25750"
"57.783","16.6","25760"
"58.75","17.867","25820"
"58.4","19.2","25840"
"58.25","17.017","25860"
"57.9","19.167","25880"
"58.4","19.2","25890"
"57.667","18.35","25900"
"57.367","17.1","25920"
"56.683","12.833","26040"
"56.45","12.55","26050"
"56.3","12.45","26060"
"56.3","12.85","26070"
"56.033","12.767","26110"
"55.383","12.817","26160"
"56.967","13.067","26200"
"56.85","13.883","26220"
"55.867","13.667","26230"
"55.483","14.317","26250"
"56.367","13.95","26260"
"56.017","14.85","26280"
"56.083","13.233","26300"
"55.567","13.067","26350"
"55.55","13.367","26360"
"55.333","13.35","26380"
"55.433","13.833","26390"
"56.867","14.8","26400"
"56.933","14.733","26410"
"56.2","16.4","26440"
"56.85","14.833","26480"
"56.017","14.85","26500"
"55.917","14.083","26510"
"56.85","15.45","26610"
"56.267","15.267","26640"
"56.033","15.8","26660"
"56.683","16.3","26700"
"56.733","16.3","26720"
"56.917","18.15","26800"
"64.033","24.717","27550"
"60.25","20.75","27900"
"69.05","20.783","28010"
"69.75","27.033","28050"
"68.617","27.417","28070"
"68.35","23.417","28075"
"67.967","23.683","28230"
"67.7","24.833","28234"
"67.367","26.65","28360"
"66.8","24","28440"
"66.567","25.833","28450"
"66.817","28.667","28480"
"66.833","28.683","28490"
"65.783","24.583","28640"
"65.517","25.267","28650"
"65.4","26.967","28660"
"65.367","27.017","28670"
"65.967","29.183","28690"
"65.033","24.567","28730"
"65.033","24.733","28740"
"64.933","25.367","28750"
"64.9","29.017","28790"
"64.283","27.683","28970"
"63.733","22.583","29010"
"63.717","23.15","29030"
"63.917","24.967","29050"
"63.433","21.067","29100"
"63.05","21.767","29110"
"63.1","23.033","29130"
"63.717","23.133","29135"
